Industry,Year,Employment,,,,,,
Agriculture ,1991,95.5,,,,,,
Agriculture ,1992,94.8,,,,,,
Agriculture ,1993,92,,,,,,
Agriculture ,1994,89.2,,,,,,
Agriculture ,1995,90.8,,,,,,
Agriculture ,1996,92.5,,,,,,
Agriculture ,1997,88.9,,,,,,
Agriculture ,1998,90,,,,,,
Agriculture ,1999,81.8,,,,,,
Agriculture ,2000,70.6,,,,,,
Agriculture ,2001,59.5,,,,,,
Agriculture ,2002,60.4,,,,,,
Agriculture ,2003,65.3,,,,,,
Agriculture ,2004,65.2,,,,,,
Agriculture ,2005,55.9,,,,,,
Agriculture ,2006,51.4,,,,,,
Agriculture ,2007,50.9,,,,,,
Agriculture ,2008,60.3,,,,,,
Agriculture ,2009,58.9,,,,,,
Agriculture ,2010,52.3,,,,,,
Agriculture ,2011,56,,,,,,
Agriculture ,2012,54.4,,,,,,
Agriculture ,2013,65.9,,,,,,
Agriculture ,2014,62.6,,,,,,
Agriculture ,2015,61.4,,,,,,
Agriculture ,2016,50.3,,,,,,
Agriculture ,2017,52.1,,,,,,
Agriculture ,2018,53.1,,,,,,
Agriculture ,2019,55.8,,,,,,
Agriculture ,2020,49.2,,,,,,
Agriculture ,2021,41.3,,,,,,
Agriculture ,2022,43.2,,,,,,
Agriculture ,2023,44.7,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",1976,37.9,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",1977,46.9,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",1978,58,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",1979,65.2,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",1980,72.9,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",1981,86,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",1982,83.2,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",1983,79.8,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",1984,78,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",1985,85.7,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",1986,76,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",1987,72.8,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",1988,76.5,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",1989,73.2,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",1990,75.4,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",1991,77,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",1992,74.6,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",1993,78.9,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",1994,79.1,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",1995,80.7,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",1996,84.6,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",1997,90.1,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",1998,87.9,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",1999,77.3,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",2000,81.9,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",2001,98.8,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",2002,95.9,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",2003,101.2,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",2004,111.2,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",2005,130,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",2006,145.4,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",2007,154.8,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",2008,158.1,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",2009,140.2,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",2010,138.9,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",2011,146.9,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",2012,173.5,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",2013,172.5,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",2014,174.1,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",2015,155.3,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",2016,136.3,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",2017,135.9,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",2018,147,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",2019,141.5,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",2020,130.5,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",2021,141.5,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",2022,138.5,,,,,,
"Forestry, fishing, mining, quarrying, oil and gas",2023,137.3,,,,,,
,,,,,,,,
Forestry and logging and support activities for forestry,1976,..,,,,,,
Forestry and logging and support activities for forestry,1977,..,,,,,,
Forestry and logging and support activities for forestry,1978,..,,,,,,
Forestry and logging and support activities for forestry,1979,..,,,,,,
Forestry and logging and support activities for forestry,1980,..,,,,,,
Forestry and logging and support activities for forestry,1981,..,,,,,,
Forestry and logging and support activities for forestry,1982,..,,,,,,
Forestry and logging and support activities for forestry,1983,..,,,,,,
Forestry and logging and support activities for forestry,1984,..,,,,,,
Forestry and logging and support activities for forestry,1985,..,,,,,,
Forestry and logging and support activities for forestry,1986,..,,,,,,
Forestry and logging and support activities for forestry,1987,3.2,,,,,,
Forestry and logging and support activities for forestry,1988,2.8,,,,,,
Forestry and logging and support activities for forestry,1989,3.2,,,,,,
Forestry and logging and support activities for forestry,1990,3.4,,,,,,
Forestry and logging and support activities for forestry,1991,3.9,,,,,,
Forestry and logging and support activities for forestry,1992,3.8,,,,,,
Forestry and logging and support activities for forestry,1993,4.3,,,,,,
Forestry and logging and support activities for forestry,1994,4.5,,,,,,
Forestry and logging and support activities for forestry,1995,5.6,,,,,,
Forestry and logging and support activities for forestry,1996,3.5,,,,,,
Forestry and logging and support activities for forestry,1997,4.2,,,,,,
Forestry and logging and support activities for forestry,1998,4.3,,,,,,
Forestry and logging and support activities for forestry,1999,4.3,,,,,,
Forestry and logging and support activities for forestry,2000,5.4,,,,,,
Forestry and logging and support activities for forestry,2001,3.7,,,,,,
Forestry and logging and support activities for forestry,2002,3.5,,,,,,
Forestry and logging and support activities for forestry,2003,4.6,,,,,,
Forestry and logging and support activities for forestry,2004,4.7,,,,,,
Forestry and logging and support activities for forestry,2005,4.5,,,,,,
Forestry and logging and support activities for forestry,2006,3.8,,,,,,
Forestry and logging and support activities for forestry,2007,4,,,,,,
Forestry and logging and support activities for forestry,2008,3.6,,,,,,
Forestry and logging and support activities for forestry,2009,3.1,,,,,,
Forestry and logging and support activities for forestry,2010,2.9,,,,,,
Forestry and logging and support activities for forestry,2011,3.4,,,,,,
Forestry and logging and support activities for forestry,2012,3.9,,,,,,
Forestry and logging and support activities for forestry,2013,2.5,,,,,,
Forestry and logging and support activities for forestry,2014,2.6,,,,,,
Forestry and logging and support activities for forestry,2015,3.4,,,,,,
Forestry and logging and support activities for forestry,2016,4,,,,,,
Forestry and logging and support activities for forestry,2017,4.1,,,,,,
Forestry and logging and support activities for forestry,2018,5,,,,,,
Forestry and logging and support activities for forestry,2019,3.4,,,,,,
Forestry and logging and support activities for forestry,2020,4.9,,,,,,
Forestry and logging and support activities for forestry,2021,2.2,,,,,,
Forestry and logging and support activities for forestry,2022,5.3,,,,,,
Forestry and logging and support activities for forestry,2023,3.6,,,,,,
,,,,,,,,
"Fishing, hunting and trapping",1976,..,,,,,,
"Fishing, hunting and trapping",1977,..,,,,,,
"Fishing, hunting and trapping",1978,..,,,,,,
"Fishing, hunting and trapping",1979,..,,,,,,
"Fishing, hunting and trapping",1980,..,,,,,,
"Fishing, hunting and trapping",1981,..,,,,,,
"Fishing, hunting and trapping",1982,..,,,,,,
"Fishing, hunting and trapping",1983,..,,,,,,
"Fishing, hunting and trapping",1984,..,,,,,,
"Fishing, hunting and trapping",1985,..,,,,,,
"Fishing, hunting and trapping",1986,..,,,,,,
"Fishing, hunting and trapping",1987,x,,,,,,
"Fishing, hunting and trapping",1988,x,,,,,,
"Fishing, hunting and trapping",1989,x,,,,,,
"Fishing, hunting and trapping",1990,x,,,,,,
"Fishing, hunting and trapping",1991,x,,,,,,
"Fishing, hunting and trapping",1992,x,,,,,,
"Fishing, hunting and trapping",1993,x,,,,,,
"Fishing, hunting and trapping",1994,x,,,,,,
"Fishing, hunting and trapping",1995,x,,,,,,
"Fishing, hunting and trapping",1996,x,,,,,,
"Fishing, hunting and trapping",1997,x,,,,,,
"Fishing, hunting and trapping",1998,x,,,,,,
"Fishing, hunting and trapping",1999,x,,,,,,
"Fishing, hunting and trapping",2000,x,,,,,,
"Fishing, hunting and trapping",2001,x,,,,,,
"Fishing, hunting and trapping",2002,x,,,,,,
"Fishing, hunting and trapping",2003,x,,,,,,
"Fishing, hunting and trapping",2004,x,,,,,,
"Fishing, hunting and trapping",2005,x,,,,,,
"Fishing, hunting and trapping",2006,x,,,,,,
"Fishing, hunting and trapping",2007,x,,,,,,
"Fishing, hunting and trapping",2008,x,,,,,,
"Fishing, hunting and trapping",2009,x,,,,,,
"Fishing, hunting and trapping",2010,x,,,,,,
"Fishing, hunting and trapping",2011,x,,,,,,
"Fishing, hunting and trapping",2012,x,,,,,,
"Fishing, hunting and trapping",2013,x,,,,,,
"Fishing, hunting and trapping",2014,x,,,,,,
"Fishing, hunting and trapping",2015,x,,,,,,
"Fishing, hunting and trapping",2016,x,,,,,,
"Fishing, hunting and trapping",2017,x,,,,,,
"Fishing, hunting and trapping",2018,x,,,,,,
"Fishing, hunting and trapping",2019,x,,,,,,
"Fishing, hunting and trapping",2020,x,,,,,,
"Fishing, hunting and trapping",2021,x,,,,,,
"Fishing, hunting and trapping",2022,x,,,,,,
"Fishing, hunting and trapping",2023,x,,,,,,
,,,,,,,,
"Mining, quarrying, and oil and gas extraction",1976,..,,,,,,
"Mining, quarrying, and oil and gas extraction",1977,..,,,,,,
"Mining, quarrying, and oil and gas extraction",1978,..,,,,,,
"Mining, quarrying, and oil and gas extraction",1979,..,,,,,,
"Mining, quarrying, and oil and gas extraction",1980,..,,,,,,
"Mining, quarrying, and oil and gas extraction",1981,..,,,,,,
"Mining, quarrying, and oil and gas extraction",1982,..,,,,,,
"Mining, quarrying, and oil and gas extraction",1983,..,,,,,,
"Mining, quarrying, and oil and gas extraction",1984,..,,,,,,
"Mining, quarrying, and oil and gas extraction",1985,..,,,,,,
"Mining, quarrying, and oil and gas extraction",1986,..,,,,,,
"Mining, quarrying, and oil and gas extraction",1987,68.9,,,,,,
"Mining, quarrying, and oil and gas extraction",1988,73,,,,,,
"Mining, quarrying, and oil and gas extraction",1989,69.7,,,,,,
"Mining, quarrying, and oil and gas extraction",1990,71.2,,,,,,
"Mining, quarrying, and oil and gas extraction",1991,72.9,,,,,,
"Mining, quarrying, and oil and gas extraction",1992,70.2,,,,,,
"Mining, quarrying, and oil and gas extraction",1993,74.2,,,,,,
"Mining, quarrying, and oil and gas extraction",1994,74.4,,,,,,
"Mining, quarrying, and oil and gas extraction",1995,75,,,,,,
"Mining, quarrying, and oil and gas extraction",1996,80.9,,,,,,
"Mining, quarrying, and oil and gas extraction",1997,85.7,,,,,,
"Mining, quarrying, and oil and gas extraction",1998,83.7,,,,,,
"Mining, quarrying, and oil and gas extraction",1999,73,,,,,,
"Mining, quarrying, and oil and gas extraction",2000,76.5,,,,,,
"Mining, quarrying, and oil and gas extraction",2001,95.1,,,,,,
"Mining, quarrying, and oil and gas extraction",2002,92.2,,,,,,
"Mining, quarrying, and oil and gas extraction",2003,96.6,,,,,,
"Mining, quarrying, and oil and gas extraction",2004,106.4,,,,,,
"Mining, quarrying, and oil and gas extraction",2005,125.5,,,,,,
"Mining, quarrying, and oil and gas extraction",2006,141.4,,,,,,
"Mining, quarrying, and oil and gas extraction",2007,150.8,,,,,,
"Mining, quarrying, and oil and gas extraction",2008,154.4,,,,,,
"Mining, quarrying, and oil and gas extraction",2009,136.9,,,,,,
"Mining, quarrying, and oil and gas extraction",2010,136.1,,,,,,
"Mining, quarrying, and oil and gas extraction",2011,143.5,,,,,,
"Mining, quarrying, and oil and gas extraction",2012,169.4,,,,,,
"Mining, quarrying, and oil and gas extraction",2013,169.9,,,,,,
"Mining, quarrying, and oil and gas extraction",2014,171.3,,,,,,
"Mining, quarrying, and oil and gas extraction",2015,151.9,,,,,,
"Mining, quarrying, and oil and gas extraction",2016,132.2,,,,,,
"Mining, quarrying, and oil and gas extraction",2017,131.8,,,,,,
"Mining, quarrying, and oil and gas extraction",2018,142,,,,,,
"Mining, quarrying, and oil and gas extraction",2019,138.1,,,,,,
"Mining, quarrying, and oil and gas extraction",2020,125.6,,,,,,
"Mining, quarrying, and oil and gas extraction",2021,139.3,,,,,,
"Mining, quarrying, and oil and gas extraction",2022,133.2,,,,,,
"Mining, quarrying, and oil and gas extraction",2023,133.7,,,,,,
,,,,,,,,
Utilities,1976,7.3,,,,,,
Utilities,1977,7.3,,,,,,
Utilities,1978,8.6,,,,,,
Utilities,1979,9.6,,,,,,
Utilities,1980,10.2,,,,,,
Utilities,1981,11.3,,,,,,
Utilities,1982,10.5,,,,,,
Utilities,1983,8.3,,,,,,
Utilities,1984,10.2,,,,,,
Utilities,1985,10.3,,,,,,
Utilities,1986,11.5,,,,,,
Utilities,1987,13.2,,,,,,
Utilities,1988,13.5,,,,,,
Utilities,1989,12,,,,,,
Utilities,1990,13.5,,,,,,
Utilities,1991,13.9,,,,,,
Utilities,1992,14.4,,,,,,
Utilities,1993,14.9,,,,,,
Utilities,1994,13,,,,,,
Utilities,1995,12.6,,,,,,
Utilities,1996,12.4,,,,,,
Utilities,1997,10.2,,,,,,
Utilities,1998,9.1,,,,,,
Utilities,1999,9.9,,,,,,
Utilities,2000,12.7,,,,,,
Utilities,2001,13.3,,,,,,
Utilities,2002,17.1,,,,,,
Utilities,2003,14,,,,,,
Utilities,2004,13.8,,,,,,
Utilities,2005,13.8,,,,,,
Utilities,2006,15.9,,,,,,
Utilities,2007,18,,,,,,
Utilities,2008,18.5,,,,,,
Utilities,2009,19.8,,,,,,
Utilities,2010,17.1,,,,,,
Utilities,2011,14,,,,,,
Utilities,2012,15.2,,,,,,
Utilities,2013,15.2,,,,,,
Utilities,2014,17.3,,,,,,
Utilities,2015,18.9,,,,,,
Utilities,2016,17.4,,,,,,
Utilities,2017,17.9,,,,,,
Utilities,2018,21.2,,,,,,
Utilities,2019,21.9,,,,,,
Utilities,2020,20.2,,,,,,
Utilities,2021,18.6,,,,,,
Utilities,2022,20.1,,,,,,
Utilities,2023,20.1,,,,,,
,,,,,,,,
Construction,1976,78.8,,,,,,
Construction,1977,85.6,,,,,,
Construction,1978,103.4,,,,,,
Construction,1979,118.2,,,,,,
Construction,1980,117.7,,,,,,
Construction,1981,126.5,,,,,,
Construction,1982,118.5,,,,,,
Construction,1983,104.2,,,,,,
Construction,1984,75.3,,,,,,
Construction,1985,74.3,,,,,,
Construction,1986,71.4,,,,,,
Construction,1987,68.8,,,,,,
Construction,1988,77.4,,,,,,
Construction,1989,81.1,,,,,,
Construction,1990,83.9,,,,,,
Construction,1991,81.7,,,,,,
Construction,1992,81.7,,,,,,
Construction,1993,81.2,,,,,,
Construction,1994,86.7,,,,,,
Construction,1995,93.4,,,,,,
Construction,1996,98,,,,,,
Construction,1997,97.3,,,,,,
Construction,1998,104.5,,,,,,
Construction,1999,115.7,,,,,,
Construction,2000,125.7,,,,,,
Construction,2001,130.5,,,,,,
Construction,2002,139.8,,,,,,
Construction,2003,144.7,,,,,,
Construction,2004,161.1,,,,,,
Construction,2005,163.2,,,,,,
Construction,2006,183,,,,,,
Construction,2007,206.7,,,,,,
Construction,2008,220.1,,,,,,
Construction,2009,199.8,,,,,,
Construction,2010,200.6,,,,,,
Construction,2011,221.2,,,,,,
Construction,2012,234.9,,,,,,
Construction,2013,232.6,,,,,,
Construction,2014,248.7,,,,,,
Construction,2015,252.7,,,,,,
Construction,2016,240.8,,,,,,
Construction,2017,231.5,,,,,,
Construction,2018,234.3,,,,,,
Construction,2019,233,,,,,,
Construction,2020,218.1,,,,,,
Construction,2021,226.7,,,,,,
Construction,2022,237.4,,,,,,
Construction,2023,241.5,,,,,,
,,,,,,,,
Manufacturing,1976,71.6,,,,,,
Manufacturing,1977,74.5,,,,,,
Manufacturing,1978,80.5,,,,,,
Manufacturing,1979,87.6,,,,,,
Manufacturing,1980,99.3,,,,,,
Manufacturing,1981,108,,,,,,
Manufacturing,1982,93.5,,,,,,
Manufacturing,1983,84,,,,,,
Manufacturing,1984,83.2,,,,,,
Manufacturing,1985,88,,,,,,
Manufacturing,1986,87.3,,,,,,
Manufacturing,1987,92.1,,,,,,
Manufacturing,1988,98.4,,,,,,
Manufacturing,1989,97.9,,,,,,
Manufacturing,1990,96.3,,,,,,
Manufacturing,1991,90.9,,,,,,
Manufacturing,1992,90.9,,,,,,
Manufacturing,1993,93.1,,,,,,
Manufacturing,1994,99.9,,,,,,
Manufacturing,1995,106.4,,,,,,
Manufacturing,1996,106.8,,,,,,
Manufacturing,1997,118.2,,,,,,
Manufacturing,1998,125.4,,,,,,
Manufacturing,1999,134.7,,,,,,
Manufacturing,2000,137.6,,,,,,
Manufacturing,2001,139.2,,,,,,
Manufacturing,2002,147.6,,,,,,
Manufacturing,2003,147.1,,,,,,
Manufacturing,2004,146.6,,,,,,
Manufacturing,2005,134.4,,,,,,
Manufacturing,2006,137.4,,,,,,
Manufacturing,2007,141.3,,,,,,
Manufacturing,2008,138.3,,,,,,
Manufacturing,2009,127.8,,,,,,
Manufacturing,2010,126.7,,,,,,
Manufacturing,2011,135.2,,,,,,
Manufacturing,2012,139.3,,,,,,
Manufacturing,2013,142.8,,,,,,
Manufacturing,2014,145.4,,,,,,
Manufacturing,2015,141.7,,,,,,
Manufacturing,2016,116.7,,,,,,
Manufacturing,2017,119.5,,,,,,
Manufacturing,2018,132.9,,,,,,
Manufacturing,2019,133.9,,,,,,
Manufacturing,2020,125.9,,,,,,
Manufacturing,2021,124.6,,,,,,
Manufacturing,2022,130.5,,,,,,
Manufacturing,2023,144.7,,,,,,
,,,,,,,,
Durables,1976,..,,,,,,
Durables,1977,..,,,,,,
Durables,1978,..,,,,,,
Durables,1979,..,,,,,,
Durables,1980,..,,,,,,
Durables,1981,..,,,,,,
Durables,1982,..,,,,,,
Durables,1983,..,,,,,,
Durables,1984,..,,,,,,
Durables,1985,..,,,,,,
Durables,1986,..,,,,,,
Durables,1987,43.5,,,,,,
Durables,1988,47.6,,,,,,
Durables,1989,44.8,,,,,,
Durables,1990,46,,,,,,
Durables,1991,44.5,,,,,,
Durables,1992,45.9,,,,,,
Durables,1993,44.5,,,,,,
Durables,1994,50.9,,,,,,
Durables,1995,58.3,,,,,,
Durables,1996,56.7,,,,,,
Durables,1997,65,,,,,,
Durables,1998,70,,,,,,
Durables,1999,79,,,,,,
Durables,2000,84.5,,,,,,
Durables,2001,83.5,,,,,,
Durables,2002,82.3,,,,,,
Durables,2003,88.8,,,,,,
Durables,2004,82,,,,,,
Durables,2005,79.4,,,,,,
Durables,2006,80.7,,,,,,
Durables,2007,85.6,,,,,,
Durables,2008,84.6,,,,,,
Durables,2009,75.6,,,,,,
Durables,2010,74.1,,,,,,
Durables,2011,83,,,,,,
Durables,2012,88.8,,,,,,
Durables,2013,82.8,,,,,,
Durables,2014,88.9,,,,,,
Durables,2015,87.2,,,,,,
Durables,2016,69.5,,,,,,
Durables,2017,68.9,,,,,,
Durables,2018,78.4,,,,,,
Durables,2019,77.6,,,,,,
Durables,2020,69.3,,,,,,
Durables,2021,70.8,,,,,,
Durables,2022,71,,,,,,
Durables,2023,78.2,,,,,,
,,,,,,,,
Non-durables,1976,..,,,,,,
Non-durables,1977,..,,,,,,
Non-durables,1978,..,,,,,,
Non-durables,1979,..,,,,,,
Non-durables,1980,..,,,,,,
Non-durables,1981,..,,,,,,
Non-durables,1982,..,,,,,,
Non-durables,1983,..,,,,,,
Non-durables,1984,..,,,,,,
Non-durables,1985,..,,,,,,
Non-durables,1986,..,,,,,,
Non-durables,1987,48.7,,,,,,
Non-durables,1988,50.8,,,,,,
Non-durables,1989,53.1,,,,,,
Non-durables,1990,50.3,,,,,,
Non-durables,1991,46.4,,,,,,
Non-durables,1992,45.1,,,,,,
Non-durables,1993,48.6,,,,,,
Non-durables,1994,49.1,,,,,,
Non-durables,1995,48.1,,,,,,
Non-durables,1996,50.1,,,,,,
Non-durables,1997,53.2,,,,,,
Non-durables,1998,55.4,,,,,,
Non-durables,1999,55.7,,,,,,
Non-durables,2000,53,,,,,,
Non-durables,2001,55.7,,,,,,
Non-durables,2002,65.3,,,,,,
Non-durables,2003,58.4,,,,,,
Non-durables,2004,64.5,,,,,,
Non-durables,2005,55.1,,,,,,
Non-durables,2006,56.7,,,,,,
Non-durables,2007,55.7,,,,,,
Non-durables,2008,53.8,,,,,,
Non-durables,2009,52.2,,,,,,
Non-durables,2010,52.6,,,,,,
Non-durables,2011,52.2,,,,,,
Non-durables,2012,50.6,,,,,,
Non-durables,2013,59.9,,,,,,
Non-durables,2014,56.5,,,,,,
Non-durables,2015,54.5,,,,,,
Non-durables,2016,47.2,,,,,,
Non-durables,2017,50.6,,,,,,
Non-durables,2018,54.5,,,,,,
Non-durables,2019,56.3,,,,,,
Non-durables,2020,56.6,,,,,,
Non-durables,2021,53.8,,,,,,
Non-durables,2022,59.5,,,,,,
Non-durables,2023,66.5,,,,,,
,,,,,,,,
Services-producing,1976,548.5,,,,,,
Services-producing,1977,595.8,,,,,,
Services-producing,1978,627.8,,,,,,
Services-producing,1979,676,,,,,,
Services-producing,1980,724.6,,,,,,
Services-producing,1981,772.5,,,,,,
Services-producing,1982,783,,,,,,
Services-producing,1983,785.5,,,,,,
Services-producing,1984,813.6,,,,,,
Services-producing,1985,831.9,,,,,,
Services-producing,1986,853.5,,,,,,
Services-producing,1987,854.8,,,,,,
Services-producing,1988,868.1,,,,,,
Services-producing,1989,897.1,,,,,,
Services-producing,1990,915.1,,,,,,
Services-producing,1991,925.4,,,,,,
Services-producing,1992,923.6,,,,,,
Services-producing,1993,928.6,,,,,,
Services-producing,1994,956.6,,,,,,
Services-producing,1995,981,,,,,,
Services-producing,1996,"1,011.30",,,,,,
Services-producing,1997,"1,048.50",,,,,,
Services-producing,1998,"1,092.00",,,,,,
Services-producing,1999,"1,123.90",,,,,,
Services-producing,2000,"1,154.60",,,,,,
Services-producing,2001,"1,186.00",,,,,,
Services-producing,2002,"1,213.10",,,,,,
Services-producing,2003,"1,256.60",,,,,,
Services-producing,2004,"1,276.90",,,,,,
Services-producing,2005,"1,323.10",,,,,,
Services-producing,2006,"1,383.50",,,,,,
Services-producing,2007,"1,422.60",,,,,,
Services-producing,2008,"1,454.90",,,,,,
Services-producing,2009,"1,483.70",,,,,,
Services-producing,2010,"1,493.50",,,,,,
Services-producing,2011,"1,529.90",,,,,,
Services-producing,2012,"1,549.20",,,,,,
Services-producing,2013,"1,582.20",,,,,,
Services-producing,2014,"1,598.90",,,,,,
Services-producing,2015,"1,635.60",,,,,,
Services-producing,2016,"1,643.10",,,,,,
Services-producing,2017,"1,664.20",,,,,,
Services-producing,2018,"1,691.70",,,,,,
Services-producing,2019,"1,721.70",,,,,,
Services-producing,2020,"1,599.70",,,,,,
Services-producing,2021,"1,706.90",,,,,,
Services-producing,2022,"1,806.30",,,,,,
Services-producing,2023,"1,872.70",,,,,,
,,,,,,,,
Wholesale and retail trade,1976,138.5,,,,,,
Wholesale and retail trade,1977,151.5,,,,,,
Wholesale and retail trade,1978,155,,,,,,
Wholesale and retail trade,1979,168.1,,,,,,
Wholesale and retail trade,1980,173.6,,,,,,
Wholesale and retail trade,1981,184.5,,,,,,
Wholesale and retail trade,1982,182.7,,,,,,
Wholesale and retail trade,1983,179.6,,,,,,
Wholesale and retail trade,1984,188.3,,,,,,
Wholesale and retail trade,1985,193.1,,,,,,
Wholesale and retail trade,1986,199.6,,,,,,
Wholesale and retail trade,1987,192.2,,,,,,
Wholesale and retail trade,1988,197.8,,,,,,
Wholesale and retail trade,1989,203.3,,,,,,
Wholesale and retail trade,1990,205.8,,,,,,
Wholesale and retail trade,1991,208.8,,,,,,
Wholesale and retail trade,1992,201.3,,,,,,
Wholesale and retail trade,1993,197.2,,,,,,
Wholesale and retail trade,1994,208.9,,,,,,
Wholesale and retail trade,1995,213.4,,,,,,
Wholesale and retail trade,1996,215.7,,,,,,
Wholesale and retail trade,1997,213.7,,,,,,
Wholesale and retail trade,1998,223.4,,,,,,
Wholesale and retail trade,1999,239.2,,,,,,
Wholesale and retail trade,2000,250.7,,,,,,
Wholesale and retail trade,2001,255.9,,,,,,
Wholesale and retail trade,2002,251.1,,,,,,
Wholesale and retail trade,2003,264.3,,,,,,
